"Indicator","Age Group","Country","Sex","Year","WHO region","Display Value","Numeric","Low","High","Comments"
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","1988","Europe","24.9 [22.7-27.2]","24.90000","22.70000","27.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","1989","Europe","24.9 [22.8-27.2]","24.90000","22.80000","27.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","1990","Europe","25.0 [22.8-27.2]","25.00000","22.80000","27.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","1991","Europe","25.0 [22.9-27.2]","25.00000","22.90000","27.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","1992","Europe","25.0 [22.9-27.3]","25.00000","22.90000","27.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","1993","Europe","25.1 [22.9-27.3]","25.10000","22.90000","27.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","1994","Europe","25.1 [22.9-27.3]","25.10000","22.90000","27.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","1995","Europe","25.1 [22.9-27.3]","25.10000","22.90000","27.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","1996","Europe","25.1 [22.9-27.3]","25.10000","22.90000","27.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","1997","Europe","25.1 [23.0-27.3]","25.10000","23.00000","27.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","1998","Europe","25.2 [23.0-27.4]","25.20000","23.00000","27.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","1999","Europe","25.2 [23.0-27.4]","25.20000","23.00000","27.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","2000","Europe","25.3 [23.1-27.5]","25.30000","23.10000","27.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","2001","Europe","25.3 [23.2-27.5]","25.30000","23.20000","27.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","2002","Europe","25.4 [23.2-27.6]","25.40000","23.20000","27.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","2003","Europe","25.5 [23.3-27.7]","25.50000","23.30000","27.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","2004","Europe","25.6 [23.4-27.9]","25.60000","23.40000","27.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","2005","Europe","25.8 [23.5-28.0]","25.80000","23.50000","28.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","2006","Europe","25.9 [23.6-28.2]","25.90000","23.60000","28.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belarus","Male","2007","Europe","26.1 [23.7-28.5]","26.10000","23.70000","28.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1980","Europe","25.1 [24.4-25.8]","25.10000","24.40000","25.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1981","Europe","25.1 [24.5-25.7]","25.10000","24.50000","25.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1982","Europe","25.2 [24.6-25.7]","25.20000","24.60000","25.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1983","Europe","25.2 [24.6-25.7]","25.20000","24.60000","25.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1984","Europe","25.2 [24.7-25.7]","25.20000","24.70000","25.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1985","Europe","25.2 [24.7-25.7]","25.20000","24.70000","25.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1986","Europe","25.3 [24.8-25.8]","25.30000","24.80000","25.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1987","Europe","25.3 [24.8-25.8]","25.30000","24.80000","25.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1988","Europe","25.4 [24.8-25.9]","25.40000","24.80000","25.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1989","Europe","25.4 [24.9-25.9]","25.40000","24.90000","25.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1990","Europe","25.5 [24.9-26.0]","25.50000","24.90000","26.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1991","Europe","25.5 [24.9-26.1]","25.50000","24.90000","26.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1992","Europe","25.6 [25.0-26.2]","25.60000","25.00000","26.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1993","Europe","25.7 [25.1-26.3]","25.70000","25.10000","26.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1994","Europe","25.8 [25.1-26.4]","25.80000","25.10000","26.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1995","Europe","25.8 [25.1-26.5]","25.80000","25.10000","26.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1996","Europe","25.9 [25.2-26.6]","25.90000","25.20000","26.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1997","Europe","26.0 [25.3-26.7]","26.00000","25.30000","26.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1998","Europe","26.0 [25.3-26.8]","26.00000","25.30000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","1999","Europe","26.1 [25.4-26.9]","26.10000","25.40000","26.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","2000","Europe","26.2 [25.4-26.9]","26.20000","25.40000","26.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","2001","Europe","26.2 [25.5-27.0]","26.20000","25.50000","27.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","2002","Europe","26.3 [25.5-27.1]","26.30000","25.50000","27.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","2003","Europe","26.4 [25.5-27.2]","26.40000","25.50000","27.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","2004","Europe","26.5 [25.5-27.3]","26.50000","25.50000","27.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","2005","Europe","26.5 [25.6-27.5]","26.50000","25.60000","27.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","2006","Europe","26.6 [25.6-27.6]","26.60000","25.60000","27.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belgium","Male","2007","Europe","26.7 [25.6-27.8]","26.70000","25.60000","27.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1980","Americas","24.3 [22.1-26.4]","24.30000","22.10000","26.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1981","Americas","24.4 [22.4-26.4]","24.40000","22.40000","26.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1982","Americas","24.5 [22.6-26.3]","24.50000","22.60000","26.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1983","Americas","24.6 [22.7-26.3]","24.60000","22.70000","26.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1984","Americas","24.6 [22.9-26.3]","24.60000","22.90000","26.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1985","Americas","24.7 [23.0-26.2]","24.70000","23.00000","26.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1986","Americas","24.7 [23.1-26.2]","24.70000","23.10000","26.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1987","Americas","24.8 [23.2-26.2]","24.80000","23.20000","26.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1988","Americas","24.8 [23.4-26.3]","24.80000","23.40000","26.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1989","Americas","24.9 [23.5-26.3]","24.90000","23.50000","26.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1990","Americas","25.0 [23.7-26.3]","25.00000","23.70000","26.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1991","Americas","25.1 [23.8-26.4]","25.10000","23.80000","26.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1992","Americas","25.2 [24.0-26.5]","25.20000","24.00000","26.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1993","Americas","25.3 [24.1-26.5]","25.30000","24.10000","26.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1994","Americas","25.4 [24.2-26.6]","25.40000","24.20000","26.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1995","Americas","25.5 [24.4-26.7]","25.50000","24.40000","26.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1996","Americas","25.6 [24.5-26.7]","25.60000","24.50000","26.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1997","Americas","25.7 [24.7-26.8]","25.70000","24.70000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1998","Americas","25.8 [24.8-26.8]","25.80000","24.80000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","1999","Americas","25.9 [24.9-26.8]","25.90000","24.90000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","2000","Americas","26.0 [25.1-26.9]","26.00000","25.10000","26.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","2001","Americas","26.1 [25.3-27.0]","26.10000","25.30000","27.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","2002","Americas","26.3 [25.4-27.1]","26.30000","25.40000","27.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","2003","Americas","26.4 [25.6-27.2]","26.40000","25.60000","27.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","2004","Americas","26.6 [25.8-27.3]","26.60000","25.80000","27.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","2005","Americas","26.7 [25.9-27.4]","26.70000","25.90000","27.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","2006","Americas","26.8 [26.0-27.6]","26.80000","26.00000","27.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Belize","Male","2007","Americas","27.0 [26.1-27.8]","27.00000","26.10000","27.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1980","Africa","20.8 [18.6-23.0]","20.80000","18.60000","23.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1981","Africa","20.9 [18.7-22.9]","20.90000","18.70000","22.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1982","Africa","20.9 [18.9-22.9]","20.90000","18.90000","22.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1983","Africa","20.9 [19.0-22.8]","20.90000","19.00000","22.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1984","Africa","21.0 [19.2-22.8]","21.00000","19.20000","22.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1985","Africa","21.0 [19.3-22.7]","21.00000","19.30000","22.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1986","Africa","21.1 [19.4-22.7]","21.10000","19.40000","22.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1987","Africa","21.1 [19.5-22.7]","21.10000","19.50000","22.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1988","Africa","21.1 [19.6-22.7]","21.10000","19.60000","22.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1989","Africa","21.2 [19.7-22.7]","21.20000","19.70000","22.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1990","Africa","21.2 [19.8-22.6]","21.20000","19.80000","22.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1991","Africa","21.3 [19.9-22.6]","21.30000","19.90000","22.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1992","Africa","21.3 [20.0-22.7]","21.30000","20.00000","22.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1993","Africa","21.4 [20.0-22.7]","21.40000","20.00000","22.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1994","Africa","21.4 [20.1-22.7]","21.40000","20.10000","22.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1995","Africa","21.5 [20.2-22.7]","21.50000","20.20000","22.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1996","Africa","21.5 [20.4-22.7]","21.50000","20.40000","22.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1997","Africa","21.6 [20.5-22.7]","21.60000","20.50000","22.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1998","Africa","21.7 [20.6-22.8]","21.70000","20.60000","22.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","1999","Africa","21.7 [20.7-22.8]","21.70000","20.70000","22.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","2000","Africa","21.8 [20.8-22.8]","21.80000","20.80000","22.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","2001","Africa","21.9 [20.9-22.9]","21.90000","20.90000","22.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","2002","Africa","22.0 [21.1-22.9]","22.00000","21.10000","22.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","2003","Africa","22.0 [21.2-22.9]","22.00000","21.20000","22.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","2004","Africa","22.1 [21.3-22.9]","22.10000","21.30000","22.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","2005","Africa","22.2 [21.5-22.9]","22.20000","21.50000","22.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","2006","Africa","22.3 [21.6-22.9]","22.30000","21.60000","22.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Benin","Male","2007","Africa","22.3 [21.7-23.0]","22.30000","21.70000","23.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1980","South-East Asia","21.6 [19.1-24.2]","21.60000","19.10000","24.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1981","South-East Asia","21.6 [19.2-24.0]","21.60000","19.20000","24.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1982","South-East Asia","21.6 [19.3-23.9]","21.60000","19.30000","23.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1983","South-East Asia","21.6 [19.4-23.8]","21.60000","19.40000","23.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1984","South-East Asia","21.6 [19.5-23.7]","21.60000","19.50000","23.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1985","South-East Asia","21.6 [19.5-23.6]","21.60000","19.50000","23.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1986","South-East Asia","21.6 [19.6-23.6]","21.60000","19.60000","23.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1987","South-East Asia","21.7 [19.7-23.5]","21.70000","19.70000","23.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1988","South-East Asia","21.7 [19.8-23.5]","21.70000","19.80000","23.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1989","South-East Asia","21.7 [19.9-23.5]","21.70000","19.90000","23.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1990","South-East Asia","21.7 [19.9-23.5]","21.70000","19.90000","23.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1991","South-East Asia","21.8 [20.0-23.4]","21.80000","20.00000","23.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1992","South-East Asia","21.8 [20.1-23.5]","21.80000","20.10000","23.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1993","South-East Asia","21.8 [20.2-23.5]","21.80000","20.20000","23.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1994","South-East Asia","21.9 [20.2-23.5]","21.90000","20.20000","23.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1995","South-East Asia","21.9 [20.3-23.5]","21.90000","20.30000","23.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1996","South-East Asia","22.0 [20.4-23.5]","22.00000","20.40000","23.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1997","South-East Asia","22.0 [20.5-23.6]","22.00000","20.50000","23.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1998","South-East Asia","22.1 [20.6-23.6]","22.10000","20.60000","23.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","1999","South-East Asia","22.1 [20.7-23.6]","22.10000","20.70000","23.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","2000","South-East Asia","22.2 [20.8-23.7]","22.20000","20.80000","23.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","2001","South-East Asia","22.3 [20.9-23.7]","22.30000","20.90000","23.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","2002","South-East Asia","22.3 [20.9-23.7]","22.30000","20.90000","23.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","2003","South-East Asia","22.4 [21.0-23.8]","22.40000","21.00000","23.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","2004","South-East Asia","22.5 [21.1-23.9]","22.50000","21.10000","23.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","2005","South-East Asia","22.6 [21.2-23.9]","22.60000","21.20000","23.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","2006","South-East Asia","22.6 [21.3-24.0]","22.60000","21.30000","24.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bhutan","Male","2007","South-East Asia","22.7 [21.4-24.1]","22.70000","21.40000","24.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1980","Americas","22.9 [20.1-25.9]","22.90000","20.10000","25.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1981","Americas","23.0 [20.3-25.8]","23.00000","20.30000","25.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1982","Americas","23.0 [20.4-25.7]","23.00000","20.40000","25.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1983","Americas","23.0 [20.5-25.6]","23.00000","20.50000","25.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1984","Americas","23.0 [20.6-25.5]","23.00000","20.60000","25.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1985","Americas","23.1 [20.7-25.5]","23.10000","20.70000","25.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1986","Americas","23.1 [20.8-25.4]","23.10000","20.80000","25.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1987","Americas","23.1 [20.9-25.4]","23.10000","20.90000","25.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1988","Americas","23.2 [21.1-25.4]","23.20000","21.10000","25.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1989","Americas","23.2 [21.2-25.3]","23.20000","21.20000","25.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1990","Americas","23.3 [21.3-25.3]","23.30000","21.30000","25.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1991","Americas","23.3 [21.4-25.3]","23.30000","21.40000","25.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1992","Americas","23.4 [21.5-25.3]","23.40000","21.50000","25.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1993","Americas","23.4 [21.6-25.3]","23.40000","21.60000","25.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1994","Americas","23.5 [21.7-25.3]","23.50000","21.70000","25.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1995","Americas","23.6 [21.8-25.3]","23.60000","21.80000","25.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1996","Americas","23.6 [22.0-25.3]","23.60000","22.00000","25.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1997","Americas","23.7 [22.1-25.4]","23.70000","22.10000","25.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1998","Americas","23.8 [22.2-25.4]","23.80000","22.20000","25.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","1999","Americas","23.9 [22.3-25.4]","23.90000","22.30000","25.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","2000","Americas","23.9 [22.4-25.5]","23.90000","22.40000","25.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","2001","Americas","24.0 [22.5-25.5]","24.00000","22.50000","25.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","2002","Americas","24.1 [22.6-25.5]","24.10000","22.60000","25.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","2003","Americas","24.2 [22.7-25.6]","24.20000","22.70000","25.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","2004","Americas","24.2 [22.8-25.7]","24.20000","22.80000","25.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","2005","Americas","24.3 [22.9-25.7]","24.30000","22.90000","25.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","2006","Americas","24.4 [22.9-25.8]","24.40000","22.90000","25.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","2007","Americas","24.4 [22.9-26.0]","24.40000","22.90000","26.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1980","Europe","25.1 [23.0-27.2]","25.10000","23.00000","27.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1981","Europe","25.1 [23.1-27.1]","25.10000","23.10000","27.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1982","Europe","25.2 [23.3-27.0]","25.20000","23.30000","27.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1983","Europe","25.2 [23.4-26.9]","25.20000","23.40000","26.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1984","Europe","25.2 [23.5-26.9]","25.20000","23.50000","26.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1985","Europe","25.3 [23.7-26.8]","25.30000","23.70000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1986","Europe","25.3 [23.8-26.8]","25.30000","23.80000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1987","Europe","25.3 [23.8-26.7]","25.30000","23.80000","26.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1988","Europe","25.3 [23.9-26.6]","25.30000","23.90000","26.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1989","Europe","25.3 [24.0-26.5]","25.30000","24.00000","26.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1990","Europe","25.3 [24.1-26.4]","25.30000","24.10000","26.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1991","Europe","25.2 [24.1-26.3]","25.20000","24.10000","26.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1992","Europe","25.1 [24.1-26.2]","25.10000","24.10000","26.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1993","Europe","25.1 [24.0-26.1]","25.10000","24.00000","26.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1994","Europe","25.0 [24.0-26.0]","25.00000","24.00000","26.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1995","Europe","25.0 [24.0-25.9]","25.00000","24.00000","25.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1996","Europe","25.0 [24.1-25.9]","25.00000","24.10000","25.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1997","Europe","25.1 [24.3-26.0]","25.10000","24.30000","26.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1998","Europe","25.3 [24.5-26.1]","25.30000","24.50000","26.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","1999","Europe","25.4 [24.6-26.1]","25.40000","24.60000","26.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","2000","Europe","25.5 [24.8-26.2]","25.50000","24.80000","26.20000",""
